Precinct,Council District,Member,Organization,Program Name,Program Type,Neighborhood/ Area Serviced,Start Date (M/Yr.),Current Status,update_change,Established
23,8,Encarnacion,Getting Out and Staying Out,Stand Against Violence East Harlem (SAVE),CMS Neighborhood-based Violence Intervention,East Harlem (Johnson + Jefferson Houses),16-May,Fully Operational,none,2003
23,8,Encarnacion,Friends of the Children NY,Jefferson Houses,CMS Community Healing Services,East Harlem (Johnson + Jefferson Houses),2024,Fully Operational,new to CMS designation,
23,8,Encarnacion,Friends of the Children NY,Johnson Houses,CMS Community Healing Services,East Harlem (Johnson + Jefferson Houses),2024,Fully Operational,new to CMS designation,
23,8,Encarnacion,Rising Ground Inc. ,Esperanza Prep Academy,CMS school-based youth enrichment services ,East Harlem,2024,Fully Operational,new to CMS designation,
25,8,Encarnacion,Getting Out and Staying Out,Stand Against Violence East Harlem (SAVE),CMS Neighborhood-based Violence Intervention,East Harlem (Wagner) Catchment expansion,19-Jul,Fully Operational,none,2003
25,8,Encarnacion,Friends of the Children NY,Wagner Houses,CMS Community Healing Services,East Harlem (Wagner Houses),2024,Fully Operational,new to CMS designation,
26,7,Abreu,"Not Another Child, Inc.",Philip Randolph High School,CMS school-based youth enrichment services ,Hamilton Heights,2023,Fully Operational,new to CMS designation,
32,9,Salaam,Street Corner Resources,Street Corner Resources (SCR),CMS Neighborhood-based Violence Intervention,West Harlem,16-Jul,Fully Operational,none,2005
32,9,Salaam,"Not Another Child, Inc.",Mot Hall High School,CMS school-based youth enrichment services ,Harlem,2023,Fully Operational,new to CMS designation,
32,9,Salaam,Urban Youth Alliance International,Frederick Douglass Academy,CMS school-based youth enrichment services ,Harlem,2023,Fully Operational,New site expansion within CMS,
34,10,De La Rosa,Urban Youth Alliance International,High Schools at 549 Audubon Ave,CMS school-based youth enrichment services ,Fort George,2023,Fully Operational,expansion within CMS,
40,"8, 17","Encarnacion, J. Sanchez",Center for Justice Innovation,SOS South Bronx,CMS Neighborhood-based Violence Intervention,Mott Haven,13-Jan,Fully Operational,none,2010
40,8,Encarnacion,TBD,,CMS Neighborhood-based Violence Intervention,Patterson + Mitchell Houses,Expected Jul-22,Coverage by Bronx Teams,No longer operating,
40,"8, 17","Encarnacion, J. Sanchez",NYC Health + Hospitals - Lincoln Hospital,Guns Down Life Up ,Hospital-based Violence Intervention,Mott Haven,2017,Fully Operational,"Designated 2017, not included in original study",2011
42,"15, 16, 17","Feliz, Stevens, J. Sanchez",Center for Justice Innovation,SOS Morrisania,CMS Neighborhood-based Violence Intervention,Morrisania,15-May,Fully Operational,none,2010
43,18,Farias,NYC Health + Hospitals - Jacobi Medical Center,Stand Up to Violence (SUV),Hospital-based Violence Intervention,Monroe + Soundview Houses,21-Jul,Start Up- No/Limited Services,none,2014
44,8,Encarnacion,"Bronx Connect / Urban Youth Alliance, Inc.",Release the Grip (RTG),CMS Neighborhood-based Violence Intervention,East Concourse/ Concourse Village,16-Mar,Fully Operational,none,2014
44,16,Stevens,TBD,,CMS Neighborhood-based Violence Intervention,TBD,Expected Jul-22,N/A,No longer operating,
46,"14, 16","P.A. Sanchez, Stevens","Good Shepherd Services, Inc.",BRAG,CMS Neighborhood-based Violence Intervention,University Heights,15-May,Fully Operational,none,2014
47,12,Riley,"Good Shepherd Services, Inc.",BRAG,CMS Neighborhood-based Violence Intervention,Edenwald,16-May,Fully Operational,none,2014
48,15,Feliz,"Bronx Connect / Urban Youth Alliance, Inc.",Release the Grip (RTG),CMS Neighborhood-based Violence Intervention,Belmont/ East Tremont/ East Farms,19-Jan,Fully Operational,none,2014
52,"14, 15","Feliz, J. Sanchez","Good Shepherd Services, Inc.",BRAG,CMS Neighborhood-based Violence Intervention,Fordham Manor,19-Jan,Fully Operational,none,2014
60,47,Kagan,Jewish Community Council,Operation HOOD (Helping Our Own Develop),CMS Neighborhood-based Violence Intervention,Coney Island,16-Mar,Fully Operational,none,2015
67,"40, 41, 42, 45",Louis,Elite Learners,Elite Learners,CMS Neighborhood-based Violence Intervention,East Flatbush,22-Jan,Start Up,none,2016
67,"40, 41, 42, 45",Louis,"Gangstas Making Astronomical Community Changes, Inc.",GMACC,CMS Neighborhood-based Violence Intervention,East Flatbush,May-15- Oct 21,Not Operational,No longer operating,
67,"40, 41, 42, 45",,East Flatbush Inc.,ENOUGH,CMS Neighborhood-based Violence Intervention,East Flatbush,2021,Fully Operational,"Designated 2021, not included in original study",2008
67,"40, 41, 42, 45",,"67th Precinct Clergy Council, Inc.",God Squad,CMS Neighborhood-based Violence Intervention,East Flatbush,2020,Fully Operational,"Designated 2020, not included in original study",2010
69,"42, 46",Barron,Man Up! Inc. / CCD,,CMS Neighborhood-based Violence Intervention,Canarsie,21-Jul,Start Up- No Services,No longer operating,
69,"42, 46",,Man Up! Inc.,Man Up Canarsie,CMS Neighborhood-based Violence Intervention,Canarsie,2024,Fully Operational,New site expansion within CMS,2003
70,"40, 45",Louis,Brownsville Think Tank Matters,DRUM,CMS Neighborhood-based Violence Intervention,Flatbush,21-Jul,Fully Operational,none,2014
70,44,,King Against Violence Initiative,School and Community Program - Urban Dove High School,CMS school-based youth enrichment services ,Midwood,2017,Fully Operational,"Designated 2017, not included in original study",2009
71,35,Hudson,Elite Learners,Elite Learners,CMS Neighborhood-based Violence Intervention,Crown Heights,21-Jul,Fully Operational,none,2016
71,35,Hudson,Elite Learners,Elite Learners,CMS Neighborhood-based Violence Intervention,Prospect Lefferts Garden,2021,Fully Operational,New site expansion within CMS,2016
71,"35, 36, 41","Hudson, Ossé, Mealy",King Against Violence Initiative,School and Community Program - Clara Barton High School,CMS school-based youth enrichment services ,Crown Heights,2017,Fully Operational,"Designated 2017, not included in original study",
71,"35, 40, 41",,King Against Violence Initiative,School and Community Program - High School for Public Service,CMS school-based youth enrichment services ,Wingate,2017,Fully Operational,"Designated 2017, not included in original study",
71,"35, 40, 41",,King Against Violence Initiative,Hospital Program - Kings County Hospital,Hospital-based Violence Intervention,Wingate,2017,Fully Operational,"Designated 2017, not included in original study",2009
71,"35, 40, 41",,Man Up! Inc.,Hospital Program - Kings County Hospital,Hospital-based Violence Intervention,Wingate,2013,Fully Operational,"Established before 2022, not included in original study",2003
73,41,Mealy,"CAMBA, Inc","Brownsville In, Violence Out (BIVO)",CMS Neighborhood-based Violence Intervention,Brownsville,15-May,Fully Operational,none,2015
73,41,Mealy,Center for Justice Innovation,Consortium (Elite Learner + BTTM),CMS Neighborhood-based Violence Intervention,Brownsville,19-Dec,Fully Operational,Incubator complete,
73,"37, 41, 42","Nurse, Banks, Mealy",Elite Learners,Elite Learners,CMS Neighborhood-based Violence Intervention,Brownsville,2021,Fully Operational,"Exited incubator, became individually designated within CMS",2016
73,"37, 41, 42","Nurse, Banks, Mealy",Brownsville Think Tank Matters,DRUM,CMS Neighborhood-based Violence Intervention,Brownsville,2021,Fully Operational,"Exited incubator, became individually designated within CMS",2014
73,"37, 41","Nurse, Mealy",King Against Violence Initiative,School and Community Program - Eagle Academy for Young Men II,CMS school-based youth enrichment services ,Ocean Hill,2017,Fully Operational,"Designated 2017, not included in original study",
75,"37, 42","Nurse, Banks",Man Up! Inc.,Man Up East New York A,CMS Neighborhood-based Violence Intervention,East NY,12-Jul,Fully Operational,none,2003
75,"37, 42","Nurse, Banks",Man Up! Inc.,Man Up East New York B,CMS Neighborhood-based Violence Intervention,East NY,15-May,Fully Operational,none,2003
,"37, 42","Nurse, Banks","Not Another Child, Inc.",Partnership with Man Up Inc.,CMS Community Healing Services,East NY,2012,Fully Operational,"Designated 2012, not included in original study",
77,"35, 36, 41","Hudson, Ossé, Mealy",Center for Justice Innovation,SOS Crown Heights,CMS Neighborhood-based Violence Intervention,Crown Heights,12-Feb,Fully Operational,none,2010
79,"36, 33, 41","Ossé, Restler, Mealy",Center for Justice Innovation,SOS Bedford Stuyvesant,CMS Neighborhood-based Violence Intervention,Bedford Stuyvesant,15-May,Fully Operational,none,2010
79,"36, 33, 41","Ossé, Restler, Mealy","Both Sides of the Violence, Inc.","Both Sides of the Violence, Inc.",CMS Neighborhood-based Violence Intervention,Bedford Stuyvesant,2024,Fully Operational,new to CMS designation,2021
81,"36, 33, 41","Ossé, Restler, Mealy",Man Up! Inc.,Man Up Bed Stuy,CMS Neighborhood-based Violence Intervention,Bedford Stuyvesant (Roosevelt Houses),21-Sep,Fully Operational,none,2003
84,33,Restler,University Settlement,Switching Lifestylez - Farragut Houses,CMS Neighborhood-based Violence Intervention,Vinegar Hill,2025,Fully Operational,new to CMS designation,2025
88,35,Hudson,"Gangstas Making Astronomical Community Changes, Inc.",GMACC,CMS Neighborhood-based Violence Intervention,Fort Greene,Aug 19 - Oct- 21,Not Operational,No longer operating,
88,35,Hudson,University Settlement,Switching Lifestylez - Ingersoll Houses,CMS Neighborhood-based Violence Intervention,Fort Greene,2025,Fully Operational,new to CMS designation,2025
90,"33, 34","Restler, Gutiérrez",Southside Unitied HDFC,Los Sures,CMS Neighborhood-based Violence Intervention,South Williamsburg,2020,Fully Operational,"Designated 2020, not included in original study",2020
101,31,Brooks-Powers,"Safe Space, Inc.",Rock Safe Streets,CMS Neighborhood-based Violence Intervention,Far Rockaway,15-May,Fully Operational,none,2015
Queens,,,"Queens Royal Priesthood, Inc.",,CMS Community Healing Services,,2024,Fully Operational,new to CMS designation,
103,"27, 38, 31","Williams, Avilés, Brooks-Powers",King of Kings,King of Kings,CMS Neighborhood-based Violence Intervention,South East Queens,21-Jul,Fully Operational,none,2005
105,"27, 31","Adams, Brooks-Powers",King of Kings,King of Kings,CMS Neighborhood-based Violence Intervention,Springfield/ Laurelton,21-Jul,Fully Operational,none,2005
citywide,citywide,,100 Suits for 100 Men,,CMS Employment Services,,2021,Fully Operational,none,
113,28,Hankerson,Life Camps Inc.,Life Camp,CMS Neighborhood-based Violence Intervention,South East Jamaica,13-Jan,Fully Operational,none,2002
113,28,Hankerson,King of Kings,King of Kings,CMS Neighborhood-based Violence Intervention,Jamaica,2021,Fully Operational,"Designated 2021, included in original study as King of Kings/100 suits",2005
114,26,Won,Community Capacity Development,696 Build Queensbridge,CMS Neighborhood-based Violence Intervention,Queensbridge,16-Jan,Fully Operational,none,2015
114,22,Cabán,Community Capacity Development,696 Build Queensbridge,CMS Neighborhood-based Violence Intervention,Astoria Houses,21-Jul,Start Up- No/Limited Services,none,2015
114,26,Won,Community Capacity Development,696 Build Queensbridge,CMS Neighborhood-based Violence Intervention,Woodside Houses,21-Jul,Start Up- No/Limited Services,none,2015
115,9,Salaam,"Harlem Mothers Stop Another Violent End, Inc.",,CMS Community Healing Services,,2021,Fully Operational,new to CMS designation,
120,49,Hanks,Central Family Life Center,True 2 Life,CMS Neighborhood-based Violence Intervention,North Shore/ Stapleton,14-Apr,Fully Operational,none,2015
citywide,citywide,,"New York Center for Interpersonal Development, Inc.",,CMS School-linked Violence Intervention,,2024,Fully Operational,new to CMS designation,
citywide,citywide,,Center for Justice Innovation,RISE Project,CMS Community Healing Services,,2019,Fully Operational,new to CMS designation,
"Queens, Brooklyn",,,Community Mediation Services,,CMS Community Healing Services,,2024,Fully Operational,new to CMS designation,
citywide,citywide,,Martin de Porres Youth and Family Services,,CMS Community Healing Services,,2024,Fully Operational,new to CMS designation,
citywide,citywide,,Research Foundation of CUNY / Creative Arts Team,,CMS Reasearch / CMS Community Healing Services,,2024,Fully Operational,new to CMS designation,
citywide,citywide,,Rising Ground Inc,,CMS Community Healing Services,,2024,Fully Operational,new to CMS designation,
citywide,citywide,,The Legal Aid Society,,CMS Legal Services,,2024,Fully Operational,new to CMS designation,
Queens ,,,"Where Do We Go From Here, Inc.",,CMS Community Healing Services,,2022,Fully Operational,new to CMS designation,
